"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","message_id","scope","deref_aliases","base_object","result_count","result","diagnostic_message","filter","attributes"
"1722307129.969209","CRskjs1GCEpInRABM4","172.16.1.66","49698","172.16.1.4","389","9","single","never","CN=Public Key Services,CN=Services,CN=Configuration,DC=wiresharkworkshop,DC=online","0","success","-","(cn=NTAuthCertificates)"
"1722307129.971370","CRskjs1GCEpInRABM4","172.16.1.66","49698","172.16.1.4","389","10","single","never","CN=AIA,CN=Public Key Services,CN=Services,CN=Configuration,DC=wiresharkworkshop,DC=online","0","success","-","(objectCategory=certificationAuthority)"
"1722307129.973223","CRskjs1GCEpInRABM4","172.16.1.66","49698","172.16.1.4","389","11","single","never","CN=OID,CN=Public Key Services,CN=Services,CN=Configuration,DC=wiresharkworkshop,DC=online","0","success","-","(ObjectClass=*)"
"1722307129.997732","C7wZi82cOSWJ8Gfpd7","172.16.1.66","49699","172.16.1.4","389","15","base","never","-","1","success","-","(objectClass=*)"
"1722307130.011426","C8Q0MUfzpdrnT0Wrg","172.16.1.66","49701","172.16.1.4","389","25","base","never","-","1","success","-","(objectClass=*)"
"1722307130.016918","C8Q0MUfzpdrnT0Wrg","172.16.1.66","49701","172.16.1.4","389","26","tree","never","CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=wiresharkworkshop,DC=online","0","success","-","(objectCategory=pKICertificateTemplate)"
"1722307133.084227","Cm68jt4F58CHDDdTr7","172.16.1.66","60778","172.16.1.4","389","8","base","never","-","1","success","-","(&(&(&(&(DnsDomain=wiresharkworkshop.online.)(Host=DESKTOP-SKBR25F))(DomainGuid=95f725ab-871a-4b18-8370-debe6f9412fa))(NtVer=0x00000016))(DnsHostName=DESKTOP-SKBR25F.wiresharkworkshop.online))"
"1722307133.192409","Cac9iQ2Mjd0jKQHZG4","172.16.1.66","60779","172.16.1.4","389","9","base","never","-","1","success","-","(&(&(&(&(DnsDomain=wiresharkworkshop.online.)(Host=DESKTOP-SKBR25F))(DomainGuid=95f725ab-871a-4b18-8370-debe6f9412fa))(NtVer=0x20000016))(DnsHostName=DESKTOP-SKBR25F.wiresharkworkshop.online))"
"1722307152.539701","CS9ZfI3fSEZN1Ibav5","172.16.1.66","50706","172.16.1.4","389","10","base","never","-","1","success","-","(&(&(&(&(DnsDomain=wiresharkworkshop.online.)(Host=DESKTOP-SKBR25F))(DomainGuid=95f725ab-871a-4b18-8370-debe6f9412fa))(NtVer=0x20000016))(DnsHostName=DESKTOP-SKBR25F.wiresharkworkshop.online))"
"1722307152.779506","CVSZRK2mxgm9L5Tg3f","172.16.1.66","49724","172.16.1.4","389","16","tree","never","DC=wiresharkworkshop,DC=online","1","success","-","(|(distinguishedName=DC=wiresharkworkshop,DC=online))"
"1722307152.785220","CEa1ap4b8WroLIYwvg","172.16.1.66","49726","172.16.1.4","389","20","base","never","-","1","success","-","(objectClass=*)"
"1722307152.785699","CEa1ap4b8WroLIYwvg","172.16.1.66","49726","172.16.1.4","389","21","base","never","CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=wiresharkworkshop,DC=online","1","success","-","(objectClass=*)"
"1722307152.786258","CVSZRK2mxgm9L5Tg3f","172.16.1.66","49724","172.16.1.4","389","22","tree","never","cn=policies,cn=system,DC=wiresharkworkshop,DC=online","0","success","-","(&(&(!(flags:1.2.840.113556.1.4.803:=1))(gPCUserExtensionNames=[*]))(|(distinguishedName=CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=wiresharkworkshop,DC=online)))"
"1722307213.794832","CSgzV43UH0U2wDDUUj","172.16.1.66","62464","172.16.1.4","389","11","base","never","-","1","success","-","(&(&(&(&(DnsDomain=wiresharkworkshop.online.)(Host=DESKTOP-SKBR25F))(DomainGuid=95f725ab-871a-4b18-8370-debe6f9412fa))(NtVer=0x00000016))(DnsHostName=DESKTOP-SKBR25F.wiresharkworkshop.online))"
"1722307213.933779","C3mPohNh8qj7A2Emh","172.16.1.66","49765","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
